CC,Data_Sorteio,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Ganhador
2542,08/06/2022,3,5,8,10,12,13,15,16,18,19,20,21,22,24,25,3
2543,09/06/2022,3,5,6,7,8,9,11,12,14,17,18,19,20,24,25,4
2544,10/06/2022,3,5,6,7,8,10,11,12,13,15,18,20,21,23,24,4
2545,11/06/2022,1,2,3,5,7,9,10,13,14,15,16,19,20,21,24,1
2546,13/06/2022,2,4,5,7,8,9,10,11,14,17,20,21,22,24,25,2
2547,14/06/2022,1,2,5,9,10,12,15,16,18,19,21,22,23,24,25,0
2548,15/06/2022,1,2,3,4,5,8,9,11,13,15,16,18,19,23,25,1
2549,17/06/2022,1,2,4,5,6,7,9,11,16,17,19,21,22,24,25,1
2550,18/06/2022,1,2,6,7,9,10,12,13,17,18,20,21,23,24,25,3
2551,20/06/2022,1,2,6,9,10,11,12,14,15,16,18,20,21,22,25,2
2552,21/06/2022,1,3,4,5,9,10,12,13,14,15,17,18,21,24,25,1
2553,22/06/2022,1,2,4,5,7,8,9,11,13,14,17,18,19,21,25,7
2554,23/06/2022,2,3,4,8,10,11,13,15,16,17,18,19,20,22,24,2
2555,24/06/2022,2,3,4,6,7,8,11,12,16,17,18,21,22,23,25,5
2556,25/06/2022,1,2,5,10,11,12,15,17,18,20,21,22,23,24,25,1
2557,27/06/2022,2,3,4,5,6,7,8,9,10,11,12,17,18,21,22,0
2558,28/06/2022,3,4,5,6,10,12,14,15,16,17,20,21,22,24,25,1
2559,29/06/2022,1,3,5,7,8,9,10,12,13,14,16,17,19,21,25,2
2560,30/06/2022,1,2,4,5,6,8,9,11,14,16,18,20,23,24,25,5
2561,01/07/2022,1,2,3,5,6,7,12,13,15,16,17,18,20,21,23,2
2562,02/07/2022,2,3,6,7,9,10,11,14,16,17,20,21,22,24,25,2
2563,04/07/2022,3,4,6,8,9,12,15,17,18,19,21,22,23,24,25,1
2564,05/07/2022,2,4,6,7,8,11,15,16,17,18,21,22,23,24,25,1
2565,06/07/2022,1,2,5,7,9,10,11,12,14,15,16,18,20,22,25,8
2566,07/07/2022,1,2,10,11,12,13,14,15,16,18,19,20,21,23,24,1
2567,08/07/2022,1,2,3,4,5,7,11,12,13,14,15,19,20,21,24,0
2568,09/07/2022,1,2,4,6,8,9,11,12,14,15,17,20,21,22,24,3
2569,11/07/2022,3,5,12,13,14,15,16,17,18,19,20,21,22,23,25,1
2570,12/07/2022,1,3,4,5,6,7,9,10,11,13,16,18,20,23,25,4
2571,13/07/2022,2,4,5,7,10,14,15,16,17,19,20,21,23,24,25,3
2572,14/07/2022,1,3,5,7,8,9,11,12,13,14,15,16,21,23,24,1
2573,15/07/2022,2,6,9,10,11,12,13,15,16,17,18,19,20,22,23,1
2574,16/07/2022,1,2,3,7,9,10,11,12,14,16,17,19,20,21,25,1
2575,18/07/2022,2,3,5,6,7,8,10,11,14,15,16,17,21,23,25,5
2576,19/07/2022,1,2,5,6,7,10,13,15,16,18,19,20,21,24,25,1
2577,20/07/2022,1,4,6,7,8,9,12,13,14,18,20,21,23,24,25,1
2578,21/07/2022,1,2,3,4,7,8,9,10,12,14,15,16,20,22,25,2
2579,22/07/2022,1,3,4,7,8,10,12,15,16,17,18,19,22,23,25,4
2580,23/07/2022,1,5,7,8,10,11,12,13,14,15,16,18,20,22,25,3
2581,25/07/2022,1,2,3,4,7,8,11,12,15,16,17,19,20,21,22,1
2582,26/07/2022,1,3,4,5,8,10,11,12,13,15,16,18,19,21,24,1
2583,27/07/2022,1,2,5,7,8,10,11,13,14,15,16,18,19,23,24,2
2584,28/07/2022,3,4,5,7,8,10,11,12,13,14,15,16,22,23,24,2
2585,29/07/2022,3,4,6,7,8,10,12,17,18,20,21,22,23,24,25,2
2586,30/07/2022,1,2,7,8,12,13,15,16,18,19,20,21,22,23,24,1
2587,01/08/2022,3,4,6,7,8,9,11,13,15,16,19,20,21,22,24,0
2588,02/08/2022,3,4,5,8,9,10,14,15,17,18,21,22,23,24,25,5
2589,03/08/2022,1,2,4,5,7,8,9,10,14,15,18,21,22,24,25,3
2590,04/08/2022,1,3,4,5,7,9,10,13,15,16,18,20,21,24,25,12
2591,05/08/2022,1,2,3,4,5,7,9,11,12,14,17,20,21,23,24,0
2592,06/08/2022,1,2,4,5,6,7,10,14,15,18,19,21,22,23,25,0
2593,08/08/2022,1,5,6,8,9,10,12,13,15,17,20,21,22,23,24,4
2594,09/08/2022,4,5,9,11,12,14,15,16,18,20,21,22,23,24,25,2
2595,10/08/2022,2,3,4,6,9,10,12,14,16,17,18,20,22,24,25,4
2596,11/08/2022,2,5,6,9,11,12,13,14,15,16,17,19,20,24,25,0
2597,12/08/2022,4,7,8,9,11,12,13,14,15,16,17,19,21,23,25,2
2598,13/08/2022,1,3,6,9,10,11,12,13,14,17,18,19,20,23,25,0
2599,15/08/2022,1,2,3,4,6,8,9,10,11,13,17,18,19,22,23,3
2600,16/08/2022,2,5,7,9,10,11,12,14,15,16,18,22,23,24,25,3
2601,17/08/2022,1,3,4,5,6,7,13,15,16,17,20,21,22,23,24,1
2602,18/08/2022,1,2,3,4,5,6,8,10,11,12,16,18,19,20,23,1
2603,19/08/2022,2,3,5,7,9,10,11,13,15,17,19,20,21,24,25,37
2604,20/08/2022,4,5,6,7,9,12,13,14,15,16,18,19,20,22,23,0
2605,22/08/2022,1,2,5,7,9,11,12,15,16,19,21,22,23,24,25,4
2606,23/08/2022,3,6,7,8,9,10,11,14,16,18,19,20,21,23,24,1
2607,24/08/2022,1,3,5,7,8,9,10,14,16,17,18,22,23,24,25,0
2608,25/08/2022,1,2,4,8,9,11,12,14,15,17,18,19,23,24,25,0
2609,26/08/2022,3,5,6,7,9,11,12,15,17,18,19,20,21,24,25,3
2610,10/09/2022,1,3,5,7,8,9,10,11,12,15,16,17,20,22,24,79
2611,12/09/2022,2,3,4,5,6,7,8,13,14,15,17,19,21,22,25,4
2612,13/09/2022,1,3,6,9,10,11,13,16,17,18,19,20,21,23,25,1
2613,14/09/2022,1,2,3,5,6,8,11,14,15,16,18,19,20,21,25,2
2614,15/09/2022,1,2,3,4,6,10,13,16,17,19,20,21,23,24,25,0
2615,16/09/2022,2,3,5,6,8,9,10,14,15,17,19,20,21,22,25,5
2616,17/09/2022,1,2,3,4,6,7,9,10,12,14,16,18,21,22,25,3
2617,19/09/2022,1,3,5,6,7,8,10,11,12,13,17,18,22,24,25,3
2618,20/09/2022,1,2,3,4,5,6,7,9,11,16,17,18,19,20,25,1
2619,21/09/2022,3,4,5,6,7,9,10,11,12,13,15,16,17,20,25,1
2620,22/09/2022,1,2,3,5,7,9,10,11,13,14,15,16,18,19,23,1
2621,23/09/2022,2,3,4,5,7,9,10,11,12,14,15,20,22,23,25,2
2622,24/09/2022,1,2,3,4,5,6,8,9,10,12,13,17,19,20,25,0
2623,26/09/2022,1,4,5,6,7,10,11,12,13,15,16,18,22,23,24,3
2624,27/09/2022,2,4,5,7,8,12,14,17,18,20,21,22,23,24,25,2
